"","index","rune","color","word_length","word","gemetria_sequence","img","dots","end_of_page","punct","total_word_count","word_rune_position","total_line_count","end_of_line","rune_by_page","word_gemetria_value","sections","word_by_page","total_rune_position","unused","line_by_page","rune_as_prime","index_of_next_instance","gap_to_next_instance","space_to_next_instance","rune_count_by_sect","word_by_sect"
"1",1,"s","red","8","s,h,e,o,g,m,ia,f",15,"infinity",NA,0,NA,1,1,1,NA,1,347,1,1,1,1,1,53,9,8,7,1,1
"2",2,"h","red","8","s,h,e,o,g,m,ia,f",8,"no",NA,0,NA,1,2,1,NA,2,347,1,1,2,1,1,23,40,38,37,2,1
"3",3,"e","red","8","s,h,e,o,g,m,ia,f",18,"no",NA,0,NA,1,3,1,NA,3,347,1,1,3,1,1,67,11,8,7,3,1
"4",4,"o","red","8","s,h,e,o,g,m,ia,f",3,"no",NA,0,NA,1,4,1,NA,4,347,1,1,4,1,1,7,21,17,16,4,1
"5",5,"g","red","8","s,h,e,o,g,m,ia,f",6,"no",NA,0,NA,1,5,1,NA,5,347,1,1,5,1,1,17,16,11,10,5,1
"6",6,"m","red","8","s,h,e,o,g,m,ia,f",19,"no",NA,0,NA,1,6,1,NA,6,347,1,1,6,1,1,71,98,92,91,6,1
"7",7,"ia","red","8","s,h,e,o,g,m,ia,f",27,"no",NA,0,NA,1,7,1,NA,7,347,1,1,7,1,1,107,43,36,35,7,1
"8",8,"f","red","8","s,h,e,o,g,m,ia,f",0,"no",NA,0,NA,1,8,1,NA,8,347,1,1,8,1,1,2,18,10,9,8,1
"9",9,"s","red","5","s,y,e,ing,c",15,"no",NA,0,NA,2,1,1,NA,9,315,1,2,9,1,1,53,29,20,19,9,2
"10",10,"y","red","5","s,y,e,ing,c",26,"no",NA,0,NA,2,2,1,NA,10,315,1,2,10,1,1,103,52,42,41,10,2
"11",11,"e","red","5","s,y,e,ing,c",18,"no",NA,0,NA,2,3,1,NA,11,315,1,2,11,1,1,67,25,14,13,11,2
"12",12,"ing","red","5","s,y,e,ing,c",21,"no",NA,0,NA,2,4,1,NA,12,315,1,2,12,1,1,79,33,21,20,12,2
